"","V1","V2","V3","V4","V5","V6"
"1",7.63683848057217,6.45988973400705,6.35961206591301,3.2016452284195,1.99346029816868,1.18143415640336
"2",12.7372062094204,10.8420999112925,10.5501337894452,5.33084750754509,3.32347080127555,1.97230150527177
"3",19.1880596527206,16.2749750978184,15.8661396802462,8.01341817464846,4.97513224149107,2.94562405925194
"4",7.78888485568078,6.52153733534458,5.44742980132495,3.22697975516544,2.0282024457961,1.21913380102683
"5",12.9449036957251,10.9007631122605,9.05034990711768,5.3516954994052,3.36444308072329,2.02375496810572
"6",20.002831815064,16.7638435220084,13.8439275116813,8.1848276037663,5.10459158818451,3.06180419996228
"7",8.1640207557117,6.85278897723134,5.64478051405353,3.33355328403361,2.08154047653185,1.25729874837356
"8",13.812912797979,11.7159729559332,9.59489669456676,5.64682997769375,3.5251911344931,2.14152192059262
"9",21.0025552949911,17.9539462238031,14.7961287437799,8.69338925977172,5.42570649485997,3.32529971230119
"10",40.3222821433943,35.5977890728127,30.1394736827562,17.7882801702619,11.2860904430459,7.12146098959591
"11",67.145183542059,61.9197294094214,55.2819085402547,32.804608822189,22.0093306109948,14.6590684460951
"12",8.39858705013184,6.93775913393787,5.73682617786085,3.35836409616992,2.06295948408894,1.22521363098692
"13",14.5773698118962,12.0573347481444,9.89172957649728,5.74340462863021,3.48827591788387,2.05873437725845
"14",24.2222321146458,19.9142872266459,16.0399655708585,9.44222635780442,5.56495846136625,3.24793580212206
"15",49.8932906023684,40.7931595459475,33.5218550489997,19.1723953985798,11.229481878921,6.52242609187146
"16",87.523454746324,80.7840231196739,66.7799426868527,43.1626719795081,24.9785640697225,14.6041709277566
"17",7.63614239422958,6.40076305356905,5.42877045540636,3.15438935386232,1.97309623731041,1.17451627731911
"18",12.7851639914391,10.8789846032787,9.17958228354211,5.24191244331763,3.26712825933089,1.9345085669594
"19",19.3876788862465,16.4908135047156,13.9274051357848,7.82851119620678,4.84758339875197,2.84795402921408
"20",6.82153389524676,5.83735393570353,5.08896989535188,2.9603544967036,1.89152248154407,1.13036829296778
"21",11.0215842650611,9.68728279093251,8.43271460299477,4.78792506430595,3.07182754754421,1.82584173488941
"22",17.9698967427678,15.4933249781881,13.3012722670923,7.45372522521366,4.68750918813613,2.75975225263583
