"","DistNo.","nX","P2","Q","TruROP","Method","Mean"
"95","4","30","0.98","78","141.007404852846","boot","135.256176302449"
"96","4","30","0.99","94","146.496701788773","boot","136.004481156383"
"97","5","7","0.8","31","128.153576500027","boot","136.592600685267"
"98","5","7","0.85","42","134.670265650035","boot","136.600767032839"
"99","5","7","0.9","63","142.795925193642","boot","136.676474162792"
"100","5","7","0.95","73","154.993152121875","boot","137.231691174816"
"101","5","7","0.98","130","168.753283101418","boot","137.372952592115"
"102","5","7","0.99","156","178.038933648531","boot","137.651123126958"
"103","5","12","0.8","31","128.153576500027","boot","143.058333666678"
"104","5","12","0.85","42","134.670265650035","boot","143.069004166328"
"105","5","12","0.9","63","142.795925193642","boot","143.07424251291"
"106","5","12","0.95","73","154.993152121875","boot","143.983353334958"
"107","5","12","0.98","130","168.753283101418","boot","144.208544675206"
"108","5","12","0.99","156","178.038933648531","boot","144.580871506669"
"109","5","24","0.8","31","128.153576500027","boot","156.733145947779"
"110","5","24","0.85","42","134.670265650035","boot","156.702602343044"
"111","5","24","0.9","63","142.795925193642","boot","156.700366169254"
"112","5","24","0.95","73","154.993152121875","boot","158.055563452315"
"113","5","24","0.98","130","168.753283101418","boot","158.740820109764"
"114","5","24","0.99","156","178.038933648531","boot","159.236827898388"
"115","5","30","0.8","31","128.153576500027","boot","159.606711485949"
"116","5","30","0.85","42","134.670265650035","boot","159.56586249211"
"117","5","30","0.9","63","142.795925193642","boot","159.532264596232"
"118","5","30","0.95","73","154.993152121875","boot","161.348221921143"
"119","5","30","0.98","130","168.753283101418","boot","162.047159824767"
"120","5","30","0.99","156","178.038933648531","boot","162.699107573692"
"121","6","7","0.8","46","142.83284011092","boot","156.419329989435"
"122","6","7","0.85","63","153.367557133465","boot","156.389007680331"
"123","6","7","0.9","95","166.584253782639","boot","156.285819755668"
"124","6","7","0.95","110","186.278708433497","boot","157.043627611744"
"125","6","7","0.98","195","208.529623920948","boot","157.223092954832"
"126","6","7","0.99","235","223.527928350713","boot","157.440773762668"
"127","6","12","0.8","46","142.83284011092","boot","172.58412004697"
"128","6","12","0.85","63","153.367557133465","boot","172.630386862319"
"129","6","12","0.9","95","166.584253782639","boot","172.667271548794"
"130","6","12","0.95","110","186.278708433497","boot","173.569960621041"
"131","6","12","0.98","195","208.529623920948","boot","173.724977165576"
"132","6","12","0.99","235","223.527928350713","boot","174.140750675671"
"133","6","24","0.8","46","142.83284011092","boot","185.840774569051"
"134","6","24","0.85","63","153.367557133465","boot","185.808234558822"
"135","6","24","0.9","95","166.584253782639","boot","185.839783098965"
"136","6","24","0.95","110","186.278708433497","boot","187.184339440285"
"137","6","24","0.98","195","208.529623920948","boot","187.87843700679"
"138","6","24","0.99","235","223.527928350713","boot","188.546466157076"
"139","6","30","0.8","46","142.83284011092","boot","194.412484837256"
"140","6","30","0.85","63","153.367557133465","boot","194.371584493127"
"141","6","30","0.9","95","166.584253782639","boot","194.427407783168"
"142","6","30","0.95","110","186.278708433497","boot","196.008317090794"
"143","6","30","0.98","195","208.529623920948","boot","196.851370718577"
"144","6","30","0.99","235","223.527928350713","boot","197.556044700725"
"145","7","7","0.8","18","115.866523329478","boot","123.499559692156"
"146","7","7","0.85","25","120.422475457069","boot","123.55022830501"
"147","7","7","0.9","38","126.423530676274","boot","123.533056622824"
"148","7","7","0.95","44","135.879986328339","boot","124.180696679561"
"149","7","7","0.98","78","147.395652374849","boot","124.377906042142"
"150","7","7","0.99","94","155.493376098095","boot","124.568842816041"
"151","7","12","0.8","18","115.866523329478","boot","127.650073494986"
"152","7","12","0.85","25","120.422475457069","boot","127.593337271928"
"153","7","12","0.9","38","126.423530676274","boot","127.474758796042"
"154","7","12","0.95","44","135.879986328339","boot","128.46925870426"
"155","7","12","0.98","78","147.395652374849","boot","128.70480033617"
"156","7","12","0.99","94","155.493376098095","boot","129.061779843647"
"157","7","24","0.8","18","115.866523329478","boot","134.173118078259"
"158","7","24","0.85","25","120.422475457069","boot","134.013615275544"
"159","7","24","0.9","38","126.423530676274","boot","134.077783832807"
"160","7","24","0.95","44","135.879986328339","boot","135.287650037528"
"161","7","24","0.98","78","147.395652374849","boot","136.009477938383"
"162","7","24","0.99","94","155.493376098095","boot","136.600039462141"
"163","7","30","0.8","18","115.866523329478","boot","138.80221218855"
"164","7","30","0.85","25","120.422475457069","boot","138.71347444377"
"165","7","30","0.9","38","126.423530676274","boot","138.698602620982"
"166","7","30","0.95","44","135.879986328339","boot","140.415400035799"
"167","7","30","0.98","78","147.395652374849","boot","141.079130745245"
"168","7","30","0.99","94","155.493376098095","boot","141.794186064526"
"169","8","7","0.8","31","124.632543829727","boot","141.002021589279"
"170","8","7","0.85","42","132.743856645238","boot","141.20432281915"
"171","8","7","0.9","63","143.819507422825","boot","141.275812010371"
"172","8","7","0.95","73","161.771822001025","boot","141.823024568631"
"173","8","7","0.98","130","184.61652794234","boot","142.103757994415"
"174","8","7","0.99","156","201.771767530806","boot","142.220439993144"
"175","8","12","0.8","31","124.632543829727","boot","151.215017357132"
"176","8","12","0.85","42","132.743856645238","boot","151.146352050679"
"177","8","12","0.9","63","143.819507422825","boot","151.220636490817"
"178","8","12","0.95","73","161.771822001025","boot","152.11955487084"
"179","8","12","0.98","130","184.61652794234","boot","152.579014058068"
"180","8","12","0.99","156","201.771767530806","boot","152.765718287807"
"181","8","24","0.8","31","124.632543829727","boot","166.83579976735"
"182","8","24","0.85","42","132.743856645238","boot","166.601866947785"
"183","8","24","0.9","63","143.819507422825","boot","166.467221473245"
"184","8","24","0.95","73","161.771822001025","boot","168.002591834189"
"185","8","24","0.98","130","184.61652794234","boot","168.752689290708"
"186","8","24","0.99","156","201.771767530806","boot","169.524396035267"
"187","8","30","0.8","31","124.632543829727","boot","170.763290635345"
"188","8","30","0.85","42","132.743856645238","boot","170.867509500383"
"189","8","30","0.9","63","143.819507422825","boot","170.741136925326"
"190","8","30","0.95","73","161.771822001025","boot","172.616318986882"
"191","8","30","0.98","130","184.61652794234","boot","173.341924600466"
"192","8","30","0.99","156","201.771767530806","boot","174.180382968787"
"193","9","7","0.8","46","133.194263052023","boot","160.126497712834"
"194","9","7","0.85","63","145.987467510748","boot","159.998610101605"
"195","9","7","0.9","95","163.903847948021","boot","159.852288195941"
"196","9","7","0.95","110","194.65661243066","boot","160.798214575388"
"197","9","7","0.98","195","236.234112558382","boot","160.864712430181"
"198","9","7","0.99","235","269.120431364327","boot","161.265185977404"
"199","9","12","0.8","46","133.194263052023","boot","181.477337824406"
"200","9","12","0.85","63","145.987467510748","boot","181.021480526453"
"201","9","12","0.9","95","163.903847948021","boot","181.086224271147"
"202","9","12","0.95","110","194.65661243066","boot","182.271903850843"
"203","9","12","0.98","195","236.234112558382","boot","182.257731541667"
"204","9","12","0.99","235","269.120431364327","boot","182.781495979676"
"205","9","24","0.8","46","133.194263052023","boot","206.972988792527"
"206","9","24","0.85","63","145.987467510748","boot","206.463932483344"
"207","9","24","0.9","95","163.903847948021","boot","206.682871115798"
"208","9","24","0.95","110","194.65661243066","boot","208.570025964363"
"209","9","24","0.98","195","236.234112558382","boot","208.991666827695"
"210","9","24","0.99","235","269.120431364327","boot","209.907015488637"
"211","9","30","0.8","46","133.194263052023","boot","220.122814386189"
"212","9","30","0.85","63","145.987467510748","boot","219.763922050876"
"213","9","30","0.9","95","163.903847948021","boot","220.010560657494"
"214","9","30","0.95","110","194.65661243066","boot","221.716353825597"
"215","9","30","0.98","195","236.234112558382","boot","222.73047884175"
"216","9","30","0.99","235","269.120431364327","boot","223.759913847844"
"217","10","7","0.8","93","142.564864766353","boot","225.432293978444"
"218","10","7","0.85","126","167.677665355944","boot","225.237592995345"
"219","10","7","0.9","190","205.66869397412","boot","226.577200157052"
"220","10","7","0.95","220","278.259662137786","boot","225.692614207774"
"221","10","7","0.98","390","390.430001866115","boot","226.539174492993"
"222","10","7","0.99","470","488.392797798892","boot","227.367190000436"
"223","10","12","0.8","93","142.564864766353","boot","283.459036718233"
"224","10","12","0.85","126","167.677665355944","boot","282.228711086848"
"225","10","12","0.9","190","205.66869397412","boot","283.018754187907"
"226","10","12","0.95","220","278.259662137786","boot","283.960344154792"
"227","10","12","0.98","390","390.430001866115","boot","284.234211502327"
"228","10","12","0.99","470","488.392797798892","boot","284.980541931224"
"229","10","24","0.8","93","142.564864766353","boot","326.533663391765"
"230","10","24","0.85","126","167.677665355944","boot","326.808017993174"
"231","10","24","0.9","190","205.66869397412","boot","326.520133303356"
"232","10","24","0.95","220","278.259662137786","boot","327.99542245227"
"233","10","24","0.98","390","390.430001866115","boot","330.157494605958"
"234","10","24","0.99","470","488.392797798892","boot","330.567220931517"
"235","10","30","0.8","93","142.564864766353","boot","362.443925425706"
"236","10","30","0.85","126","167.677665355944","boot","362.152546893854"
"237","10","30","0.9","190","205.66869397412","boot","362.296083452164"
"238","10","30","0.95","220","278.259662137786","boot","364.006171316853"
